warehouse_code,sku,qty_delta,reason,batch_no,notes
MAIN,APRL-NKDFT-M,-4,damaged,,Stained items from storage leak — unsellable
FLOOR,APRL-NKDFT-M,6,adjustment,,Recount after seasonal reorganisation
MAIN,APRL-LEV501-M,-3,damaged,,Water damaged during roof leak
MAIN,SHOE-NKAM270,-2,damaged,,Sole separation defect — pulled from sale
FLOOR,SHOE-CONVCT,4,adjustment,,Found extra stock in fitting room storage
MAIN,SHOE-BATOXF-M,-3,damaged,,Scratched during shelf handling
MAIN,MED-PANEXT-10,-15,damaged,,Expired blister packs removed
FLOOR,MED-PANEXT-10,-8,damaged,,Expired blister packs removed
MAIN,MED-DIS-10,20,adjustment,,Recount — full box found in medical storage cabinet
MAIN,VIT-CEN-30,-6,damaged,,Damaged bottles — seal broken
FLOOR,VIT-ENSCH-400G,-3,damaged,,Expired tins removed from shelf
MAIN,SKIN-NEUHBWG-50G,10,adjustment,,Recount after product line reorganisation
MAIN,SKIN-VASIC-200ML,-5,damaged,,Cracked jars from dropping
FLOOR,ORAL-COLGWTW-150G,15,adjustment,,Recount variance after physical stock count
MAIN,ORAL-COLG360-1,-10,damaged,,Bristle contamination — batch recalled
MAIN,SOAP-DETORG-175G,-12,damaged,,Soap bars cracked from freezing storage
FLOOR,SOAP-LUXSR-150G,20,adjustment,,Recount — case found behind rack
MAIN,SOAP-SFGPW-175G,-8,damaged,,Packaging torn — loose bars removed
MAIN,DIAP-PAMABM-40,-10,damaged,,Packaging compromised — hygiene concern
FLOOR,DIAP-HUGDCM-46,8,adjustment,,Recount after display shelf restock
MAIN,BBATH-JOHSHM-200ML,-5,damaged,,Cracked bottles from pallet drop
MAIN,TOY-HW20CP,-3,damaged,,Open boxes — items missing
FLOOR,TOY-HSBMONO,2,adjustment,,Found sealed stock in games section stockroom
MAIN,AUTO-SHLHU-5W304L,-4,damaged,,Leaking oil cans — disposed
FLOOR,AUTO-CASGTX-20W50,6,adjustment,,Recount after automotive section audit
MAIN,STAT-PILG2B-12,12,adjustment,,Found 1 master carton not booked in
MAIN,STAT-STABHLT-4,-5,damaged,,Dried-out highlighters — removed from sale
FLOOR,PET-PEDADCP-400G,-6,damaged,,Torn pouches — disposed
MAIN,PET-WHSADCP-85G,15,adjustment,,Recount — found extra tray in pet section
MAIN,CLEN-DETAPC-500ML,-8,damaged,,Leaking bottles from damaged batch
FLOOR,CLEN-SFXFL-2KG,10,adjustment,,Recount after cleaning section reorganisation
MAIN,CRIC-KKTURF-BALL,-4,damaged,,Balls deformed from heat exposure
MAIN,FIT-NKYOGA-6MM,-2,damaged,,Torn mats from forklift contact
